,,,,,13.7909,
Период,Артикул,Описание,Категория,"Себестоимость на март
 (С НДС, рубли)","Себестоимость единицы
 3_25 CNY с НДС",
март 2025,1_Кастрюли,PT1-1,Кастрюли 3 шт,1586,115,
март 2025,1_Кастрюли,PT1-2,Кастрюли 3 шт + сковорода,2565,186,
март 2025,1_Кастрюли,PT1-3,Кастрюли 4 шт,2524,183,
март 2025,1_Кастрюли,PT1-4,Набор 2 кастрюли + ковшик,1765,128,
март 2025,1_Кастрюли,PT1-5,Набор кастрюль 3 шт + ковшик,2579,187,
март 2025,1_Кастрюли,PT1-6,Набор 2 кастрюли + 1 большая,2179,158,
март 2025,1_Кастрюли,PT1-7,Набор кастрюля + ковшик,1214,88,
март 2025,1_Кастрюли,PT2-1RD,Набор кастрюль силиконовые ручки красные,1876,136,
март 2025,1_Кастрюли,PT2-2GR,Набор кастрюль силиконовые ручки серые,1903,138,
март 2025,1_Кастрюли,PT2-3GN,Набор кастрюль силиконовые ручки зелёные,1903,138,
март 2025,2_Зеркала,TM1-1WT,Зеркало с подсветкой белое,1503,109,
март 2025,2_Зеркала,TM1-1BK,Зеркало с подсветкой чёрное,1489,108,
март 2025,2_Зеркала,TM1-2WT,Зеркало 12 ламп белое,2275,165,
март 2025,2_Зеркала,TM1-2BK,Зеркало 12 ламп черное,2262,164,
март 2025,2_Зеркала,TM2-1WT,Зеркало овальное белое,1558,113,
март 2025,2_Зеркала,TM2-1BK,Зеркало овальное черное,1462,106,
март 2025,2_Зеркала,TM2-2WT,Зеркало прямоугольное светодиодное,1586,115,
март 2025,2_Зеркала,TM2-2BK,Зеркало прямоугольное светодиодное,1558,113,
март 2025,3_Контейнеры,H-GFC1-1,Набор стеклянных контейнеров 4 шт,814,59,
март 2025,3_Контейнеры,H-GFC1-3,КОНТЕЙНЕР-ЛАНЧ БОКС AQRA H-GFC1-3,1007,73,
март 2025,3_Контейнеры,H-ORG1-1,Органайзер для косметики 12 шт.,621,45,
март 2025,3_Контейнеры,H-GFC1-2,Контейнеры для еды стекло 2 штуки,359,26,
март 2025,3_Контейнеры,H-GFC2-1,Набор круглых стеклянных контейнеров 3 штуки,607,44,
март 2025,3_Контейнеры,H-ORG1-2,Органайзер для косметики 9 шт.,483,35,
март 2025,4_Сковороды,FP1-1,Набор сковородок 3 предмета,2041,148,
март 2025,4_Сковороды,FP1-2,Набор сковородок 4 предмета,2427,176,
март 2025,4_Сковороды,FP1-3,Набор сковородок 9 предметов,3517,255,
март 2025,5_Коврики для ванной,CPT1-1GR,Коврик для ванной серый,786,57,
март 2025,5_Коврики для ванной,CPT1-1BE,Коврик для ванной бежевый,731,53,
март 2025,5_Коврики для ванной,CPT1-1MGR,коврик серый однотонный,786,57,
март 2025,5_Коврики для ванной,CPT1-1MBE,коврик бежевый однотонный,772,56,
март 2025,8_Корзины для белья,H-LB1-1GR,Корзина для белья серая,703,51,
март 2025,8_Корзины для белья,H-LB1-1WT,Корзина для белья белая,662,48,
март 2025,6_Швабры,H-MOP2-1,Швабра с распылителем,579,42,
март 2025,6_Швабры,H-MOP3-1,Умная швабра с отжимом и ведром,2579,187,
март 2025,6_Швабры,H-MOP1-1,Швабра с распылителем,441,32,
март 2025,7_Инструменты,DYDB1-1,Аккумуляторная дрель-шуруповерт phoq,2193,159,
март 2025,7_Инструменты,DYWR1-1,Аккумуляторный гайковерт phoq,3406,247,
март 2025,7_Инструменты,DYGR1-1,Аккумуляторная УШМ phoq,3903,283,
март 2025,7_Инструменты,DRL2-1,Rino щеточная дрель,1503,109,
март 2025,7_Инструменты,DY-DRL3-1,Phoq щеточная мини дрель,648,47,
март 2025,7_Инструменты,DRL4-1,Rino БЩ мини дрель ударная,1751,127,
март 2025,7_Инструменты,DRL5-1,Rino БЩ друль ударная,1972,143,
март 2025,7_Инструменты,GR1-2,Rino УШМ,2772,201,
март 2025,7_Инструменты,GR1-2C,Rino УШМ,3379,245,
март 2025,7_Инструменты,WR1-2,Rino гайковерт,2317,168,
март 2025,7_Инструменты,WR1-2C,Rino гайковерт,2882,209,
март 2025,7_Инструменты,CHS1-1,Rino мини цепная пила,1876,136,
март 2025,7_Инструменты,CHS1-1C,Rino мини цепная пила,2400,174,
март 2025,7_Инструменты,NHD1-1,Перфоратор сетевой,3199,232,
март 2025,9_Мусорные ведра,H-TC1-1WT,Мусорное ведро,676,49,
март 2025,9_Мусорные ведра,H-TC1-2WT,Мусорное ведро,717,52,
март 2025,9_Мусорные ведра,H-TC1-3WT,Мусорное ведро,690,50,
март 2025,9_Мусорные ведра,H-TC1-4WT,Мусорное ведро,965,70,
март 2025,9_Мусорные ведра,H-TC1-5WT,Мусорное ведро,896,65,
март 2025,Миски,H-BOWL1-2,Миски набор 5 шт,690,50,
март 2025,Миски,H-BOWL1-2C,Миски набор 5 шт ЦВЕТНЫЕ,786,57,
март 2025,Прочее,BS1-1GR,"Стеллаж для книг и игрушек, серый",883,64,
март 2025,Прочее,BS1-1BR,"Стеллаж для книг и игрушек, коричневый",883,64,
март 2025,Прочее,HNG1-1BK,Вешалка шкаф черная,965,70,
март 2025,Прочее,HNG1-1W,Вешалка шкаф белая,883,64,
март 2025,Прочее,SHC1-2,Обувница,648,47,
март 2025,Прочее,SHC1-1BR,Обувница кор.,703,51,
март 2025,Прочее,AT-003BK,Вешалка,1048,76,
март 2025,Прочее,AT-003W,Вешалка,1048,76,
март 2025,Прочее,B-MCM1-1,Микротоковый массажер для лица,800,58,
март 2025,Прочее,B-MG1-1,Массажный пистолет AQRA,2344,170,
март 2025,4_Сковороды,FP1-4,Набор сковородок со съёмными ручками и ковшом,4565,331,
март 2025,4_Сковороды,FP1-5,Сковорода 24 см со съёмной ручкой,1048,76,
март 2025,4_Сковороды,FP1-6,Сковорода 26 см со съёмной ручкой,1048,76,
март 2025,3_Контейнеры,H-ORG1-3,НАБОР ПЛАСТИКОВЫХ КОНТЕЙНЕРОВ AQRA НЕ ДЛЯ ПИЩЕВЫХ ПРОДУКТОВ,841,,"старые позиции, в остатках и приходах нет"
март 2025,6_Швабры,Н-МОР3-1,Швабра с 2 насадками и 3 сменными тряпками с ведром,2573,,---
март 2025,Прочее,AT-001W,"Коробка для обуви ,белый",380,,---
март 2025,Прочее,AT-002BE,"Коробка для хранения ,бежевый",583,,---
март 2025,Прочее,AT-002BK,"Коробка для хранения ,черный",583,,---
март 2025,Прочее,AT-002G,"Коробка для хранения ,серый",583,,---
март 2025,Прочее,B-DRS1-1,МАССАЖЕР ЭЛЕКТРИЧЕСКИЙ ДАРСОНВАЛЬ ИМПУЛЬСНЫЙ МАССАЖЕР,635,,---
март 2025,Прочее,K-EBR-1-1,КРАСКИ ДЛЯ РИСОВАНИЯ НА ВОДЕ ЭБРУ,371,,---
март 2025,Прочее,PHA1-1GR,ФОТОАЛЬБОМ С НАКЛЕЙКАМИ (А4).,661,,---
март 2025,Прочее,PHA1-1PK,ФОТОАЛЬБОМ С НАКЛЕЙКАМИ (А4).,661,,---
март 2025,Прочее,PHA1-1RD,ФОТОАЛЬБОМ С НАКЛЕЙКАМИ (А4).,661,,---
март 2025,Прочее,SHC1-1BK,СТЕЛЛАЖ В ПРИХОЖУЮ ДЛЯ ХРАНЕНИЯ ОБУВИ,704,,---
март 2025,Прочее,SHC1-1GR,СТЕЛЛАЖ В ПРИХОЖУЮ ДЛЯ ХРАНЕНИЯ ОБУВИ,704,,---