Период,Артикул,Описание,Категория,"Себестоимость на февраль
 (С НДС, рубли)",Период прогрузки - 26.01-25.02.2025
февраль 2025,PT1-1,набор кастрюль ТМ AQRA,1_Кастрюли,1597,
февраль 2025,PT1-2,набор кастрюль ТМ AQRA,1_Кастрюли,2576,
февраль 2025,PT1-3,набор кастрюль ТМ AQRA,1_Кастрюли,2522,
февраль 2025,PT1-4,набор кастрюль ТМ AQRA,1_Кастрюли,1765,
февраль 2025,PT1-5,набор кастрюль ТМ AQRA,1_Кастрюли,2578,
февраль 2025,PT1-6,набор кастрюль ТМ AQRA,1_Кастрюли,2181,
февраль 2025,PT1-7,набор кастрюль ТМ AQRA,1_Кастрюли,1220,
февраль 2025,PT2-1RD,набор кастрюль ТМ AQRA,1_Кастрюли,1878,
февраль 2025,PT2-2GR,набор кастрюль ТМ AQRA,1_Кастрюли,1910,
февраль 2025,PT2-3GN,набор кастрюль ТМ AQRA,1_Кастрюли,1901,
февраль 2025,TM1-1BK,ЗЕРКАЛО СТЕКЛЯННОЕ ГРИМЕРНОЕ,2_Зеркала,1511,
февраль 2025,TM1-1WT,ЗЕРКАЛО СТЕКЛЯННОЕ ГРИМЕРНОЕ,2_Зеркала,1523,
февраль 2025,TM1-2BK,НАСТОЛЬНОЕ ЗЕРКАЛО ПРЯМОУГОЛНОЕ,2_Зеркала,2315,
февраль 2025,TM1-2WT,НАСТОЛЬНОЕ ЗЕРКАЛО ПРЯМОУГОЛНОЕ,2_Зеркала,2312,
февраль 2025,TM2-1BK,Зеркало настольное,2_Зеркала,1424,
февраль 2025,TM2-1WT,НАСТОЛЬНОЕ ЗЕРКАЛО КРУГЛОЕ (ГРИМЕРНОЕ),2_Зеркала,1601,
февраль 2025,TM2-2BK,НАСТОЛЬНОЕ ЗЕРКАЛО ПРЯМОУГОЛНОЕ,2_Зеркала,1582,
февраль 2025,TM2-2WT,НАСТОЛЬНОЕ ЗЕРКАЛО,2_Зеркала,1623,
февраль 2025,H-GFC1-1,Набор стеклянных контейнеров 4 шт AQRA,3_Контейнеры,807,
февраль 2025,H-GFC1-2,"Набор стеклянных контейнеров ""Aqra"" 2 шт",3_Контейнеры,365,
февраль 2025,H-GFC1-3,КОНТЕЙНЕР-ЛАНЧ БОКС AQRA,3_Контейнеры,1002,
февраль 2025,H-GFC2-1,"Набор стеклянных контейнеров ""Aqra"" 3 шт круглые",3_Контейнеры,613,
февраль 2025,H-ORG1-1,"НАБОР ПЛАСТИКОВЫХ КОНТЕЙНЕРОВ НЕ
 ДЛЯ ПИЩЕВЫХ ПРОДУКТОВ",3_Контейнеры,615,
февраль 2025,H-ORG1-2,НАБОР ПЛАСТИКОВЫХ КОНТЕЙНЕРОВ AQRA,3_Контейнеры,488,
февраль 2025,H-ORG1-3,НАБОР ПЛАСТИКОВЫХ КОНТЕЙНЕРОВ AQRA НЕ ДЛЯ ПИЩЕВЫХ ПРОДУКТОВ,3_Контейнеры,841,
февраль 2025,FP1-1,НАБОР ЛИТЫХ АЛЮМИНЕВЫХ СКОВОРОДОК,4_Сковороды,2044,
февраль 2025,FP1-2,НАБОР ЛИТЫХ АЛЮМИНЕВЫХ СКОВОРОДОК,4_Сковороды,2427,
февраль 2025,FP1-3,НАБОР ЛИТЫХ АЛЮМИНЕВЫХ СКОВОРОДОК,4_Сковороды,3549,
февраль 2025,CPT1-1BE,Коврик для пола бежевый,5_Коврики для ванной,711,
февраль 2025,CPT1-1GR,КОВРИК ДЛЯ ПОЛА,5_Коврики для ванной,819,
февраль 2025,CPT1-1MBE,Коврик для пола ТМ Aqra,5_Коврики для ванной,780,
февраль 2025,CPT1-1MGR,Коврик для пола ТМ Aqra,5_Коврики для ванной,791,
февраль 2025,H-MOP1-1,Швабра с распылителем AQRA,6_Швабры,435,
февраль 2025,H-MOP2-1,Швабра с распылителем AQRA,6_Швабры,580,
февраль 2025,Н-МОР3-1,Швабра с 2 насадками и 3 сменными тряпками с ведром,6_Швабры,2573,
февраль 2025,CHS1-1,Пила аккумуляторная цепная бесщеточная,7_Инструменты,1872,
февраль 2025,CHS1-1C,Пила аккумуляторная цепная бесщеточная,7_Инструменты,2405,
февраль 2025,DRL2-1,Дрель аккумуляторная ударная щеточная,7_Инструменты,1507,
февраль 2025,DRL3-1,Аккумуляторная дщруль-шуруповерт,7_Инструменты,648,
февраль 2025,DRL4-1,Дрель аккумуляторная ударная бесщеточная мини,7_Инструменты,1746,
февраль 2025,DRL5-1,Дрель аккумуляторная ударная бесщеточная,7_Инструменты,1968,
февраль 2025,DYDB1-1,Дрель щеточная phoq,7_Инструменты,2187,
февраль 2025,DYGR1-1,УШМ phoq,7_Инструменты,3903,
февраль 2025,DYWR1-1,Гайковерт phoq,7_Инструменты,3408,
февраль 2025,GR1-2,Машина угловая шлифовальная аккумуляторная бесщеточная,7_Инструменты,2778,
февраль 2025,GR1-2C,Аккумуляторная угловая шлифовальная машина,7_Инструменты,3381,
февраль 2025,NHD1-1,Перфоратор ручной со встроенным ручным двигателем в пластиковом кейсе в компл. сверла и бур.,7_Инструменты,3193,
февраль 2025,WR1-2,Гайковерт аккумуляторный бесщеточный,7_Инструменты,2315,
февраль 2025,WR1-2C,Аккумуляторный гайковерт,7_Инструменты,2877,
февраль 2025,H-LB1-1GR,КОРЗИНА ДЛЯ БЕЛЬЯ AQRA,8_Корзины для белья,701,
февраль 2025,H-LB1-1WT,КОРЗИНА ДЛЯ БЕЛЬЯ AQRA,8_Корзины для белья,669,
февраль 2025,H-TC1-1WT,МУСОРНОЕ ВЕДРО AQRA,9_Мусорные ведра,673,
февраль 2025,H-TC1-2WT,МУСОРНОЕ ВЕДРО,9_Мусорные ведра,724,
февраль 2025,H-TC1-3WT,МУСОРНОЕ ВЕДРО,9_Мусорные ведра,688,
февраль 2025,H-TC1-4WT,МУСОРНОЕ ВЕДРО,9_Мусорные ведра,963,
февраль 2025,H-TC1-5WT,МУСОРНОЕ ВЕДРО ДЛЯ КУХНИ В КОМПЛЕКТЕ С КРЫШКОЙ,9_Мусорные ведра,896,
февраль 2025,H-BOWL1-2,салатник ТМ AQRA,Миски,683,
февраль 2025,H-BOWL1-2C,Миски,Миски,784,
февраль 2025,AT-001W,"Коробка для обуви ,белый",Прочее,380,
февраль 2025,AT-002BE,"Коробка для хранения ,бежевый",Прочее,583,
февраль 2025,AT-002BK,"Коробка для хранения ,черный",Прочее,583,
февраль 2025,AT-002G,"Коробка для хранения ,серый",Прочее,583,
февраль 2025,AT-003BK,"Вешалка напольная ,черный",Прочее,1053,
февраль 2025,AT-003W,"Вешалка напольная ,белый",Прочее,1054,
февраль 2025,B-DRS1-1,МАССАЖЕР ЭЛЕКТРИЧЕСКИЙ ДАРСОНВАЛЬ ИМПУЛЬСНЫЙ МАССАЖЕР,Прочее,635,
февраль 2025,B-MCM1-1,МИКРОТОКОВЫЙ МАССАЖЕР ДЛЯ ЛИЦА АППАРАТ ДЛЯ УЛЬТРАЗВУКОВОЙ ЧИСТКИ ЛИЦА,Прочее,795,
февраль 2025,B-MG1-1,"Массажный пистолет AQRA,",Прочее,2338,
февраль 2025,BS1-1BR,Книжная полка (стеллаж),Прочее,884,
февраль 2025,BS1-1GR,Книжная полка(стеллаж),Прочее,884,
февраль 2025,HNG1-1BK,ВЕШАЛКА НАПОЛЬНАЯ МЕТАЛЛИЧЕСКАЯ ДЛЯ ОДЕЖДЫ,Прочее,958,
февраль 2025,HNG1-1W,ВЕШАЛКА НАПОЛЬНАЯ МЕТАЛЛИЧЕСКАЯ ДЛЯ ОДЕЖДЫ,Прочее,884,
февраль 2025,K-EBR-1-1,КРАСКИ ДЛЯ РИСОВАНИЯ НА ВОДЕ ЭБРУ,Прочее,371,
февраль 2025,PHA1-1GR,ФОТОАЛЬБОМ С НАКЛЕЙКАМИ (А4).,Прочее,661,
февраль 2025,PHA1-1PK,ФОТОАЛЬБОМ С НАКЛЕЙКАМИ (А4).,Прочее,661,
февраль 2025,PHA1-1RD,ФОТОАЛЬБОМ С НАКЛЕЙКАМИ (А4).,Прочее,661,
февраль 2025,SHC1-1BK,СТЕЛЛАЖ В ПРИХОЖУЮ ДЛЯ ХРАНЕНИЯ ОБУВИ,Прочее,704,
февраль 2025,SHC1-1BR,СТЕЛЛАЖ В ПРИХОЖУЮ ДЛЯ ХРАНЕНИЯ ОБУВИ,Прочее,704,
февраль 2025,SHC1-1GR,СТЕЛЛАЖ В ПРИХОЖУЮ ДЛЯ ХРАНЕНИЯ ОБУВИ,Прочее,704,
февраль 2025,SHC1-2,СТЕЛЛАЖ В ПРИХОЖУЮ ДЛЯ ХРАНЕНИЯ ОБУВИ,Прочее,645,