Период,Артикул,Описание,Категория,"Себестоимость на январь
 (С НДС, рубли)",<- Обновленная. Период прогрузки - 16.01-25.01.2025
Январь 2025,PT1-1,набор кастрюль ТМ AQRA,1_Кастрюли,1 611,
Январь 2025,PT1-2,набор кастрюль ТМ AQRA,1_Кастрюли,2 598,
Январь 2025,PT1-3,набор кастрюль ТМ AQRA,1_Кастрюли,2 544,
Январь 2025,PT1-4,набор кастрюль ТМ AQRA,1_Кастрюли,1 781,
Январь 2025,PT1-5,набор кастрюль ТМ AQRA,1_Кастрюли,2 600,
Январь 2025,PT1-6,набор кастрюль ТМ AQRA,1_Кастрюли,2 200,
Январь 2025,PT1-7,набор кастрюль ТМ AQRA,1_Кастрюли,1 230,
Январь 2025,PT2-1RD,набор кастрюль ТМ AQRA,1_Кастрюли,1 895,
Январь 2025,PT2-2GR,набор кастрюль ТМ AQRA,1_Кастрюли,1 927,
Январь 2025,PT2-3GN,набор кастрюль ТМ AQRA,1_Кастрюли,1 917,
Январь 2025,TM1-1BK,ЗЕРКАЛО СТЕКЛЯННОЕ ГРИМЕРНОЕ,2_Зеркала,1 524,
Январь 2025,TM1-1WT,ЗЕРКАЛО СТЕКЛЯННОЕ ГРИМЕРНОЕ,2_Зеркала,1 536,
Январь 2025,TM1-2BK,НАСТОЛЬНОЕ ЗЕРКАЛО ПРЯМОУГОЛНОЕ,2_Зеркала,2 335,
Январь 2025,TM1-2WT,НАСТОЛЬНОЕ ЗЕРКАЛО ПРЯМОУГОЛНОЕ,2_Зеркала,2 333,
Январь 2025,TM2-1BK,Зеркало настольное,2_Зеркала,1 437,
Январь 2025,TM2-1WT,НАСТОЛЬНОЕ ЗЕРКАЛО КРУГЛОЕ (ГРИМЕРНОЕ),2_Зеркала,1 615,
Январь 2025,TM2-2BK,НАСТОЛЬНОЕ ЗЕРКАЛО ПРЯМОУГОЛНОЕ,2_Зеркала,1 595,
Январь 2025,TM2-2WT,НАСТОЛЬНОЕ ЗЕРКАЛО,2_Зеркала,1 637,
Январь 2025,H-GFC1-1,Набор стеклянных контейнеров 4 шт AQRA,3_Контейнеры,814,
Январь 2025,H-GFC1-2,"Набор стеклянных контейнеров ""Aqra"" 2 шт",3_Контейнеры,368,
Январь 2025,H-GFC1-3,КОНТЕЙНЕР-ЛАНЧ БОКС AQRA,3_Контейнеры,1 011,
Январь 2025,H-GFC2-1,"Набор стеклянных контейнеров ""Aqra"" 3 шт круглые",3_Контейнеры,618,
Январь 2025,H-ORG1-1,"НАБОР ПЛАСТИКОВЫХ КОНТЕЙНЕРОВ НЕ
 ДЛЯ ПИЩЕВЫХ ПРОДУКТОВ",3_Контейнеры,621,
Январь 2025,H-ORG1-2,НАБОР ПЛАСТИКОВЫХ КОНТЕЙНЕРОВ AQRA,3_Контейнеры,493,
Январь 2025,H-ORG1-3,НАБОР ПЛАСТИКОВЫХ КОНТЕЙНЕРОВ AQRA НЕ ДЛЯ ПИЩЕВЫХ ПРОДУКТОВ,3_Контейнеры,848,
Январь 2025,FP1-1,НАБОР ЛИТЫХ АЛЮМИНЕВЫХ СКОВОРОДОК,4_Сковороды,2 062,
Январь 2025,FP1-2,НАБОР ЛИТЫХ АЛЮМИНЕВЫХ СКОВОРОДОК,4_Сковороды,2 448,
Январь 2025,FP1-3,НАБОР ЛИТЫХ АЛЮМИНЕВЫХ СКОВОРОДОК,4_Сковороды,3 580,
Январь 2025,CPT1-1BE,Коврик для пола бежевый,5_Коврики для ванной,717,
Январь 2025,CPT1-1GR,КОВРИК ДЛЯ ПОЛА,5_Коврики для ванной,826,
Январь 2025,CPT1-1MBE,Коврик для пола ТМ Aqra,5_Коврики для ванной,787,
Январь 2025,CPT1-1MGR,Коврик для пола ТМ Aqra,5_Коврики для ванной,798,
Январь 2025,H-MOP1-1,Швабра с распылителем AQRA,6_Швабры,439,
Январь 2025,H-MOP2-1,Швабра с распылителем AQRA,6_Швабры,585,
Январь 2025,Н-МОР3-1,Швабра с 2 насадками и 3 сменными тряпками с ведром,6_Швабры,2 596,
Январь 2025,CHS1-1,Пила аккумуляторная цепная бесщеточная,7_Инструменты,1 889,
Январь 2025,CHS1-1C,Пила аккумуляторная цепная бесщеточная,7_Инструменты,2 426,
Январь 2025,DRL2-1,Дрель аккумуляторная ударная щеточная,7_Инструменты,1 520,
Январь 2025,DRL3-1,Аккумуляторная дщруль-шуруповерт,7_Инструменты,654,
Январь 2025,DRL4-1,Дрель аккумуляторная ударная бесщеточная мини,7_Инструменты,1 761,
Январь 2025,DRL5-1,Дрель аккумуляторная ударная бесщеточная,7_Инструменты,1 985,
Январь 2025,DYDB1-1,Дрель щеточная phoq,7_Инструменты,2 207,
Январь 2025,DYGR1-1,УШМ phoq,7_Инструменты,3 937,
Январь 2025,DYWR1-1,Гайковерт phoq,7_Инструменты,3 438,
Январь 2025,GR1-2,Машина угловая шлифовальная аккумуляторная бесщеточная,7_Инструменты,2 802,
Январь 2025,GR1-2C,Аккумуляторная угловая шлифовальная машина,7_Инструменты,3 410,
Январь 2025,NHD1-1,Перфоратор ручной со встроенным ручным двигателем в пластиковом кейсе в компл. сверла и бур.,7_Инструменты,3 221,
Январь 2025,WR1-2,Гайковерт аккумуляторный бесщеточный,7_Инструменты,2 335,
Январь 2025,WR1-2C,Аккумуляторный гайковерт,7_Инструменты,2 903,
Январь 2025,H-LB1-1GR,КОРЗИНА ДЛЯ БЕЛЬЯ AQRA,8_Корзины для белья,707,
Январь 2025,H-LB1-1WT,КОРЗИНА ДЛЯ БЕЛЬЯ AQRA,8_Корзины для белья,675,
Январь 2025,H-TC1-1WT,МУСОРНОЕ ВЕДРО AQRA,9_Мусорные ведра,679,
Январь 2025,H-TC1-2WT,МУСОРНОЕ ВЕДРО,9_Мусорные ведра,730,
Январь 2025,H-TC1-3WT,МУСОРНОЕ ВЕДРО,9_Мусорные ведра,694,
Январь 2025,H-TC1-4WT,МУСОРНОЕ ВЕДРО,9_Мусорные ведра,972,
Январь 2025,H-TC1-5WT,МУСОРНОЕ ВЕДРО ДЛЯ КУХНИ В КОМПЛЕКТЕ С КРЫШКОЙ,9_Мусорные ведра,904,
Январь 2025,H-BOWL1-2,салатник ТМ AQRA,Миски,689,
Январь 2025,H-BOWL1-2C,Миски,Миски,791,
Январь 2025,AT-001W,"Коробка для обуви ,белый",Прочее,383,
Январь 2025,AT-002BE,"Коробка для хранения ,бежевый",Прочее,588,
Январь 2025,AT-002BK,"Коробка для хранения ,черный",Прочее,588,
Январь 2025,AT-002G,"Коробка для хранения ,серый",Прочее,588,
Январь 2025,AT-003BK,"Вешалка напольная ,черный",Прочее,1 062,
Январь 2025,AT-003W,"Вешалка напольная ,белый",Прочее,1 063,
Январь 2025,B-DRS1-1,МАССАЖЕР ЭЛЕКТРИЧЕСКИЙ ДАРСОНВАЛЬ ИМПУЛЬСНЫЙ МАССАЖЕР,Прочее,641,
Январь 2025,B-MCM1-1,МИКРОТОКОВЫЙ МАССАЖЕР ДЛЯ ЛИЦА АППАРАТ ДЛЯ УЛЬТРАЗВУКОВОЙ ЧИСТКИ ЛИЦА,Прочее,802,
Январь 2025,B-MG1-1,"Массажный пистолет AQRA,",Прочее,2 359,
Январь 2025,BS1-1BR,Книжная полка (стеллаж),Прочее,892,
Январь 2025,BS1-1GR,Книжная полка(стеллаж),Прочее,892,
Январь 2025,HNG1-1BK,ВЕШАЛКА НАПОЛЬНАЯ МЕТАЛЛИЧЕСКАЯ ДЛЯ ОДЕЖДЫ,Прочее,967,
Январь 2025,HNG1-1W,ВЕШАЛКА НАПОЛЬНАЯ МЕТАЛЛИЧЕСКАЯ ДЛЯ ОДЕЖДЫ,Прочее,892,
Январь 2025,K-EBR-1-1,КРАСКИ ДЛЯ РИСОВАНИЯ НА ВОДЕ ЭБРУ,Прочее,374,
Январь 2025,PHA1-1GR,ФОТОАЛЬБОМ С НАКЛЕЙКАМИ (А4).,Прочее,667,
Январь 2025,PHA1-1PK,ФОТОАЛЬБОМ С НАКЛЕЙКАМИ (А4).,Прочее,667,
Январь 2025,PHA1-1RD,ФОТОАЛЬБОМ С НАКЛЕЙКАМИ (А4).,Прочее,667,
Январь 2025,SHC1-1BK,СТЕЛЛАЖ В ПРИХОЖУЮ ДЛЯ ХРАНЕНИЯ ОБУВИ,Прочее,711,
Январь 2025,SHC1-1BR,СТЕЛЛАЖ В ПРИХОЖУЮ ДЛЯ ХРАНЕНИЯ ОБУВИ,Прочее,711,
Январь 2025,SHC1-1GR,СТЕЛЛАЖ В ПРИХОЖУЮ ДЛЯ ХРАНЕНИЯ ОБУВИ,Прочее,711,
Январь 2025,SHC1-2,СТЕЛЛАЖ В ПРИХОЖУЮ ДЛЯ ХРАНЕНИЯ ОБУВИ,Прочее,651,